country_code,year,country_fr,twh
BEL,2014,Belgique,88.8
BEL,2015,Belgique,89.43
BEL,2016,Belgique,90.49
BEL,2017,Belgique,91.36
BEL,2018,Belgique,91.2
BEL,2019,Belgique,90.84
BEL,2020,Belgique,87.96
BEL,2021,Belgique,91.51
BEL,2022,Belgique,86.8
BEL,2023,Belgique,83.84
BEL,2024,Belgique,84.43
DEU,2014,Allemagne,584.87
DEU,2015,Allemagne,590.89
DEU,2016,Allemagne,591.0
DEU,2017,Allemagne,592.0
DEU,2018,Allemagne,583.54
DEU,2019,Allemagne,567.42
DEU,2020,Allemagne,547.72
DEU,2021,Allemagne,560.25
DEU,2022,Allemagne,539.62
DEU,2023,Allemagne,505.92
DEU,2024,Allemagne,502.32
IRL,2014,Irlande,27.93
IRL,2015,Irlande,28.71
IRL,2016,Irlande,29.49
IRL,2017,Irlande,29.98
IRL,2018,Irlande,30.87
IRL,2019,Irlande,31.35
IRL,2020,Irlande,31.82
IRL,2021,Irlande,33.17
IRL,2022,Irlande,33.86
IRL,2023,Irlande,34.63
IRL,2024,Irlande,35.47
ITA,2014,Italie,320.25
ITA,2015,Italie,326.08
ITA,2016,Italie,322.98
ITA,2017,Italie,329.85
ITA,2018,Italie,329.96
ITA,2019,Italie,328.13
ITA,2020,Italie,309.01
ITA,2021,Italie,328.28
ITA,2022,Italie,323.16
ITA,2023,Italie,312.93
ITA,2024,Italie,315.57
NLD,2014,Pays-Bas,116.83
NLD,2015,Pays-Bas,117.74
NLD,2016,Pays-Bas,118.87
NLD,2017,Pays-Bas,119.55
NLD,2018,Pays-Bas,121.07
NLD,2019,Pays-Bas,120.91
NLD,2020,Pays-Bas,119.3
NLD,2021,Pays-Bas,121.05
NLD,2022,Pays-Bas,115.52
NLD,2023,Pays-Bas,113.85
NLD,2024,Pays-Bas,117.92
ESP,2014,Espagne,271.03
ESP,2015,Espagne,277.04
ESP,2016,Espagne,278.37
ESP,2017,Espagne,281.55
ESP,2018,Espagne,282.5
ESP,2019,Espagne,277.38
ESP,2020,Espagne,262.75
ESP,2021,Espagne,271.6
ESP,2022,Espagne,267.35
ESP,2023,Espagne,265.88
ESP,2024,Espagne,270.08
CHE,2014,Suisse,64.59
CHE,2015,Suisse,65.04
CHE,2016,Suisse,65.02
CHE,2017,Suisse,65.7
CHE,2018,Suisse,64.7
CHE,2019,Suisse,64.31
CHE,2020,Suisse,62.93
CHE,2021,Suisse,65.5
CHE,2022,Suisse,64.87
CHE,2023,Suisse,63.86
CHE,2024,Suisse,65.21
GBR,2014,Royaume-Uni,358.6
GBR,2015,Royaume-Uni,359.98
GBR,2016,Royaume-Uni,356.93
GBR,2017,Royaume-Uni,352.98
GBR,2018,Royaume-Uni,352.83
GBR,2019,Royaume-Uni,348.28
GBR,2020,Royaume-Uni,333.15
GBR,2021,Royaume-Uni,333.92
GBR,2022,Royaume-Uni,317.99
GBR,2023,Royaume-Uni,309.22
GBR,2024,Royaume-Uni,314.52
FRA,2014,France,462.7
FRA,2015,France,474.1
FRA,2016,France,482.4
FRA,2017,France,483.3
FRA,2018,France,476.4
FRA,2019,France,473.6
FRA,2020,France,449.0
FRA,2021,France,464.0
FRA,2022,France,456.5
FRA,2023,France,458.2
FRA,2024,France,460.3
